concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.4985070526599884
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.0001344011378369384,0.4924137592315674
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,4.3638753543463337e-05,0.5023899078369141
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,3.229858741766762e-05,0.4999997913837433
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.4924992322921753
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.4924992322921753
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.4924992322921753
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.4924992322921753
house,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.7951101660728455
house,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.002637602832244729,0.8186672925949097
house,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,9.65594838222688e-06,0.7954426407814026
house,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,0.0019228774423139003,0.7922638058662415
house,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.7997293472290039
house,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.0007339482758231456,0.8090265393257141
house,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,2.2972963633146453e-05,0.7975960969924927
house,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,0.002175682809554276,0.7944409847259521
house,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.7853434681892395
house,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.7853434681892395
house,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.7853434681892395
house,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.7853434681892395
door,ben_to_guj,test_cross_script_same_family,ben_Beng,25,native,0.0,0.27896440029144287
door,ben_to_guj,test_cross_script_same_family,ben_Beng,25,roman,0.002351301085140145,0.3050041198730469
door,ben_to_guj,test_cross_script_same_family,ben_Beng,25,devanagari,3.8150400995189127e-05,0.2820418179035187
door,ben_to_guj,test_cross_script_same_family,ben_Beng,25,hindi,8.873378239964563e-05,0.28265953063964844
door,ben_to_guj,test_cross_script_same_family,ben_Beng,26,native,0.0,0.2738560140132904
door,ben_to_guj,test_cross_script_same_family,ben_Beng,26,roman,0.000681570713142475,0.2884075939655304
door,ben_to_guj,test_cross_script_same_family,ben_Beng,26,devanagari,0.000107612606659418,0.2798716127872467
door,ben_to_guj,test_cross_script_same_family,ben_Beng,26,hindi,0.00011348149157708494,0.28017058968544006
door,ben_to_guj,test_cross_script_same_family,ben_Beng,27,native,0.0,0.2846290171146393
door,ben_to_guj,test_cross_script_same_family,ben_Beng,27,roman,0.0,0.2846290171146393
door,ben_to_guj,test_cross_script_same_family,ben_Beng,27,devanagari,0.0,0.2846290171146393
door,ben_to_guj,test_cross_script_same_family,ben_Beng,27,hindi,0.0,0.2846290171146393
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.3470969498157501
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.0032150275524180975,0.36542460322380066
